time,device,signals,fault
92,W25Q5122,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0",0x3
92,pc1041,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0",0x3
93,MAX4881,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
94,MAX4882,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
95,MAX4883,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
96,MAX4884,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
97,TJA1050,"0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x1,0x1,0x0,0x1,0x1,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x3
97,pc1041,"0x0,0x0,0x1,0x0,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x1,0x1,0x0,0x1,0x1,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x3
98,SN74AHC2731,"0x0,0x1",0x0
98,uln2803a1,"0x0,0x1",0x0
98,pc1041,"0x1,0x0",0x0
99,SN74AHC2732,"0x0,0x1",0x0
99,uln2803a2,"0x0,0x1",0x0
99,pc1041,"0x1,0x0",0x0
100,SN74HC175,"0x0,0x1",0x0
